organization,branch,year,decade,appropriation_usd,appropriation_2025_usd
Department of the Army,Army,1911,1910s,92951017.55,3141267407.71
Department of the Navy ,Navy,1911,1910s,131350854.38,4438984840.76
Department of the Army,Army,1912,1910s,80057075.02,2649734433.66
Department of the Navy ,Navy,1912,1910s,126478338.24,4186188514.42
Department of the Army,Army,1913,1910s,88000000.0,2853788888.89
Department of the Navy ,Navy,1913,1910s,123225007.76,3996115431.58
Department of the Army,Army,1914,1910s,94399012.08,3030692082.7
Department of the Navy ,Navy,1914,1910s,140800643.53,4520422260.61
Department of the Army,Army,1915,1910s,98538905.76,3132281076.03
Department of the Navy ,Navy,1915,1910s,144945833.61,4607429808.2
Department of the Army,Army,1916,1910s,157060640.0,4626102275.03
Department of the Navy ,Navy,1916,1910s,275004772.42,8100057425.82
Department of the Army,Army,1917,1910s,434604332.52,10900801891.48
Department of the Navy ,Navy,1917,1910s,616394150.44,15460477538.39
Department of the Army,Army,1918,1910s,5645584931.93,120034576117.7
Department of the Navy ,Navy,1918,1910s,516922111.08,10990628471.18
Department of the Army,Army,1919,1910s,9208524279.29,170890649163.09
Department of the Navy ,Navy,1919,1910s,1592666415.84,29556505412.63
Department of the Army,Army,1920,1920s,742329523.0,11916291063.55
Department of the Navy ,Navy,1920,1920s,592811416.88,9516142320.18
